Distrito,variable,value,Fecha
Adjuntas,Tipo I,10,Marzo 2019
Aguada ,Tipo I,40,Marzo 2019
Aguadilla,Tipo I,103,Marzo 2019
Aguas Buenas,Tipo I,45,Marzo 2019
Aibonito,Tipo I,21,Marzo 2019
Añasco,Tipo I,28,Marzo 2019
Arecibo,Tipo I,162,Marzo 2019
Arroyo,Tipo I,17,Marzo 2019
Barceloneta,Tipo I,74,Marzo 2019
Barranquitas,Tipo I,41,Marzo 2019
Bayamón,Tipo I,773,Marzo 2019
Cabo Rojo,Tipo I,51,Marzo 2019
Caguas,Tipo I,342,Marzo 2019
Camuy,Tipo I,64,Marzo 2019
Canóvanas,Tipo I,73,Marzo 2019
Carolina,Tipo I,446,Marzo 2019
Cataño,Tipo I,47,Marzo 2019
Cayey,Tipo I,74,Marzo 2019
Ceiba,Tipo I,20,Marzo 2019
Ciales,Tipo I,23,Marzo 2019
Cidra,Tipo I,43,Marzo 2019
Coamo,Tipo I,30,Marzo 2019
Comerío,Tipo I,25,Marzo 2019
Corozal,Tipo I,36,Marzo 2019
Culebra,Tipo I,10,Marzo 2019
Dorado,Tipo I,99,Marzo 2019
Fajardo,Tipo I,85,Marzo 2019
Florida,Tipo I,11,Marzo 2019
Guánica,Tipo I,10,Marzo 2019
Guayama,Tipo I,79,Marzo 2019
Guayanilla,Tipo I,21,Marzo 2019
Guaynabo,Tipo I,230,Marzo 2019
Gurabo,Tipo I,45,Marzo 2019
Hatillo,Tipo I,82,Marzo 2019
Hormigueros,Tipo I,9,Marzo 2019
Humacao,Tipo I,79,Marzo 2019
Isabela,Tipo I,91,Marzo 2019
Jayuya,Tipo I,22,Marzo 2019
Juana Díaz,Tipo I,48,Marzo 2019
Juncos,Tipo I,61,Marzo 2019
Lajas,Tipo I,22,Marzo 2019
Lares,Tipo I,51,Marzo 2019
Las Marías,Tipo I,7,Marzo 2019
Las Piedras,Tipo I,33,Marzo 2019
Loiza,Tipo I,49,Marzo 2019
Luquillo,Tipo I,51,Marzo 2019
Manatí,Tipo I,87,Marzo 2019
Maricao,Tipo I,16,Marzo 2019
Maunabo,Tipo I,10,Marzo 2019
Mayagüez,Tipo I,130,Marzo 2019
Moca,Tipo I,34,Marzo 2019
Morovis,Tipo I,29,Marzo 2019
Naguabo,Tipo I,24,Marzo 2019
Naranjito,Tipo I,46,Marzo 2019
Orocovis,Tipo I,30,Marzo 2019
Patillas,Tipo I,25,Marzo 2019
Peñuelas,Tipo I,16,Marzo 2019
Ponce,Tipo I,285,Marzo 2019
Quebradillas,Tipo I,45,Marzo 2019
